Filename,Reference Text,Transcribed Text,wer,wer c
common_voice_he_38142081,"דָּנִי, אֲבִישַׁי, אִיתַי, רוּתִי וְאַמְנוֹן, שֶׁעָמְדוּ סְבִיבוֹ, נִשְׁתַּתְּקוּ לְשֵׁמַע דְּבָרָיו","דני, אבישי, איתי, רותי ואמנון שעמדו סביבו השתתקו בשמת דבריו.",1,2000
common_voice_he_39753069,לַדוּגְמָא – הַקוֹרֵס כָּאן. רָחוֹק הוּא מִלִהְיוֹת גֵיהִנוֹם עַל פָּנַי אֲדָמוֹת.,לדוגמה הקורס כאן רחוק הוא מלהיות גיהינום על פני אדמות.,1,לדוגמה הקורס כאן רחוק הוא מלהיות גיהינום על פני אדמות
common_voice_he_39753478,שְׁנֵיהֶם רְאוּיִים לְיַצֵּג אֶת הַכְּנֶסֶת,שניהם ראויים לייצג את הכנסת.,1,2000
common_voice_he_39753654,קָצִין אַנְגְּלִי שֶׁהָיָה מְמֻנֶּה עָלֵינוּ.,קצין אנגלי שהיה ממונה עלינו,1,2000
common_voice_he_41605173,ההפחתה תסתכם בכעשרים ושלוש אגורות והיא נכנסה לתוקף אמש בחצות,"ההפחתה תסתכם בכ-23 אגורות,  והיא נכנסה לתוקף אמש בחצות.",0.4,2000
common_voice_he_38094117,ואנשים מעניינים נדירים כל כך!,ואנשים מעניינים לגרים כל כך.,0.4,2000
common_voice_he_41486336,שמעתי שם הערות מאוד מעניינות לגבי תוכנית ההתנתקות והיציאה מעזה,שמעתי שהמערות מאוד מעניינות לגבי תוכנית ההתנתקות והיציאה מעזה.,0.3,2000
common_voice_he_41617130,במכללות הציבוריות יותר משבעים אחוזים מהמרצים הם מרצים מן החוץ,במכללות הציבוריות  יותר מ-70% מהמרצים הם מרצים מן החוץ.,0.3,2000
common_voice_he_38142080,"אני מבחינה גם בחסרונות המוסד הזה, ובטוחה שגם מהחסרונות אלמד","אני מבחינה גם בחסרונות המוסד עד אל,  ובטוחה  שגם מהחסרונות אלמד.",0.3,2000
common_voice_he_39771175,בשורה התחתונה אומר כאן שעד שלקולות האלה מקרב הציבור החילוני,בשורה התחתונה אומר כאן שעד של הקולות האלה מקרב הציבור החילוני.,0.3,2000
common_voice_he_39327110,והיקף השטח הפתוח בה קטן בהרבה מהסטנדרטים הבין-לאומיים הקיימים,והיקף השטח הפתוח בה קטן בהרבה מהסטנדרטים הבינלאומיים הקיימים.,0.2222,2000
common_voice_he_39771293,"קבוצת רעם-תע""ל וקבוצת האיחוד הלאומי מציעים שסעיף זה יימחק""",קבוצת רע״ם-תע״ל וקבוצת האיחוד הלאומי מציעים שסעיף זה יימחק.,0.2222,1818
common_voice_he_38142102,שני ההורים שלו עדיין בחיים.,שני ההורים שלו עדיין בחלים.,0.2,0
common_voice_he_38146702,יש לי היום משמעותית יותר חברים משהיו לי בגיל עשרים.,יש לי כיום משמעותית יותר חברים משהיו לי בגיל 20.,0.2,0
common_voice_he_43539843,סיכון נזילות - הסיכון שלמשתתף לא יהיו די כספים לעמוד בחיוביו במועדם,סיכון נזילות – הסיכון של משתתף לא יהיו די כספים לעמוד בחיוביו במועדם.,0.3333,1818
common_voice_he_39326865,אין מלים בפי למסור את ההרגשות שעוררו בי הדרך והאוטובוס לעמק,אין מילים בפי למסור את הרגשות שעוררו בי הדרך והאוטובוס לעמק.,0.2727,1818
common_voice_he_39771127,ממד הוא מרחב מוגן דירתי ואילו ממק הוא מרחב קומתי מוגן,ממ״ד הוא מרחב מוגן דירתי ואילו ממ״ק הוא מרחב קומתי מוגן.,0.2727,3636
common_voice_he_38078780,"בסופו של דבר, לאחר שיבשו הדמעות, הרגשתי שבכל זאת היטבתי עשות.","בסופו של דבר,  לאחר שיבשו הדמעות,  הרגשתי שבכל זאת  כיתבתי לעשות.",0.1818,0
common_voice_he_38094980,הֲרֵי זֶה נִקְרָא לָקַחַת חֶרְמֵשׁ בַּיָּדַיִם.,הרי זה נקרא לקחת חרמש בידיים.,1,0
common_voice_he_41605157,עֲטֶ֣רֶת תִּפְאֶ֣רֶת שֵׂיבָ֑ה בְּדֶ֥רֶךְ צְ֝דָקָ֗ה תִּמָּצֵֽא׃,"עטרת תפארת שיבה, בדרך צדקה תימצא.",1,1667
common_voice_he_39326827,לִפְנֵי כִּשְׁבוּעַיִם גִּלִּינוּ לוּחַ אֶבֶן שֶׁחָקוּק עָלָיו בִּכְתָב צִידוֹנִי תַּרְשִׁים שֶׁל מִקְדָּשׁ,לפני כשבועיים גילינו לוח אבן שחקוק עליו בכתב צידוני תרשים של מקדש.,1,1667
common_voice_he_39326855,הַמּוֹרִים חָשְׁבוּ כִּי הָרְגוּ אֶת הַמַּחְלָקָה.,המורים חשבו כי הרגנו את המחלקה.,1,0
common_voice_he_39327199,הַכַּלְבָּה הֵבִיאָה לְאוֹר הָעוֹלָם שְׁנֵי גוּרִים,הכלבה הביאה לאור העולם שני איגורים.,1,1667
common_voice_he_38078771,"יֵש פֹּה חוֹמֶר מְגַוֵון מְאֹד שֶל סְפָרִים, כִּי רוֹב הָאֲנָשִים הֵבִיאוּ מַשֶהוּ",יש פה חומר מגוון מאוד של ספרים כי רוב האנשים הבינו משהו.,1,1667
common_voice_he_39918068,"הָאֶחָד הָיָה שָׂעִיר וּמְכֹעָר כְּאִמּוֹ, וְאִלּוּ הַשֵּׁנִי — לְמַרְבִּית הַפֶּלֶא — הָיָה גוּר שָׁחוֹר","האחד היה שעיר ומכוער כאמו,  ואילו השני, למרבית הפלא, היה גור שחור.",1,833
common_voice_he_41616655,"שמגיעים לבית-הספר, למה הם מגיעים","כשמגיעים לבית הספר, למה הם מגיעים?",0.8,0
common_voice_he_39937270,"חדש, בל""ד, רע""ם, מרצ, יהדות התורה""","חדש, בלד, רעם, מרץ, יהדות התורה",0.6667,0
common_voice_he_40067775,מתוקף תפקידי כיושב-ראש ועדת הכספים,מתוקף תפקידי כיושב ראש ועדת כספים,0.6,0
common_voice_he_41019364,"הארכת חיים, מצילות חיים, מאריכות חיים",הערכת חיים מצילות חיים מאריכות חיים,0.5,0
common_voice_he_41616616,תצא איזה בשורה גם בנושא הדיור,"תצא, זה בשורה גם בנושא הדיור.",0.5,1667
common_voice_he_41486375,"לכזה שפל מדרגה, לא רק מוסרי",לחזה שפל מדרגה לא רק מוסרי.,0.5,1667
common_voice_he_39753227,"וידבר, יוצא מן האולם, פשוט מאוד","וידבר יוצא מן העולם, פשוט מאוד.",0.5,1667
common_voice_he_39753629,"תמיד זכיתי לקבל הרינו שמחים להודיעך""","תמיד זכיתי לקבל, הריינו שמחים להודיעך.",0.5,1667
common_voice_he_43281947,זו חוויה לא הכי נעימה בעולם,זו חבירה לא הכי נעימה בעולם.,0.3333,1667
common_voice_he_40909673,כי גם כך הוא רעב וממהר,כי גם כך הוא ראה וממהר.,0.3333,1667
common_voice_he_39750878,וזאת היתה למעשה ראשית השימוש בנעליים,וזאת הייתה למעשה ראשית השימוש בנעליים.,0.3333,0
common_voice_he_43313119,המוח מורכב משתי אונות: הימנית והשמאלית,המוח מורכב משתי עונות  הימנית והשמאלית.,0.3333,1667
common_voice_he_40612867,אווירת האיפוק והריסון היתה קצרת מועד,אווירת האיפוק והריסון הייתה קצרת מועד.,0.3333,0
common_voice_he_41616707,"אני שמח שאתמול בלילה, בביקור פתע","אני שמח שאתמול בלילה בביקור פטע,",0.3333,0
common_voice_he_41486344,"כמו שכבר דובר, בעיקר מסים עקיפים","כמו שכבר דובר, בעיקר מיסים עקיפים.",0.3333,0
common_voice_he_41486353,ולא רק מטרות מונטריות ומטרות כלכליות,ולא רק מטרות מוניטריות ומטרות כלכליות.,0.3333,1667
common_voice_he_41486356,"הוא יהודי מה שנקרא בשפתנו עויבד""","הוא יהודי, מה שנקרא בשפתנו אובד.",0.3333,1667
common_voice_he_41486357,שרפרף גבוהה יכול לשמש גם כשולחן,שרפרף גבוה יכול לשמש גם כשולחן.,0.3333,1667
common_voice_he_41605186,אם הדגם הזה יעבור לערים אחרות,עם הדגם הזה יעבור לערים אחרות.,0.3333,1667
common_voice_he_41605201,כתוצאה מהפיצוץ נפצע באורח בינוני המאבטח,כתוצאה מהפיצוץ נפצע באורך בינוני המאבטח.,0.3333,1667
common_voice_he_39327084,"מכיוון שאני כותבת יומן, וליומן מתאים לכתוב על ענייני בחורים, אכתוב חדשות","מכיוון שאני כותב את יומן וליומן מתאים לכתוב על ענייני בחורים,  אכתוב חדשות.",0.3333,1667
common_voice_he_39327147,גם כי יזקין לא יסור ממנה,גם כי הזקין לא יסור ממנה.,0.3333,1667
common_voice_he_39642818,אבל היא תדבר במשך שבע דקות,אבל היא תדבר במשך 7 דקות.,0.3333,1667
common_voice_he_39844332,מה זה כבודו הוזמן כדת וכדין,מה זה כבודו וזמן כדת וכדין?,0.3333,0
common_voice_he_39753482,"בארבעה ביוני שיגר דר יואב ספיר""",בארבעה ביוני שיגר דוקטור יואב ספיר.,0.3333,1667
common_voice_he_39771200,וחוקרים מהפקולטה להנדסה באוניברסיטת אלבורג בדנמרק,וחוקרים מהפקולטה להנדסה באוניברסיטת הולבורג בדנמרק.,0.3333,1667
common_voice_he_39771232,"זה קורה בבלגיה, זה קורה בהולנד","זה קורה בבלביה, זה קורה בהולנד.",0.3333,1667
common_voice_he_39771317,והשאלה הנשאלת היא איפה היתה המשטרה,והשאלה הנשאלת היא איפה הייתה המשטרה?,0.3333,0
common_voice_he_39785424,צפורה ביקשה עזרה במימון משקפי קריאה,ציפורה ביקשה עזרה במימון משקפי קריאה.,0.3333,1667
common_voice_he_39831340,"ובהם משרדי התחבורה, האוצר, התמת, החינוך""","ובהם משרדי התחבורה, האוצר, התמ״ת, החינוך.",0.3333,3333
common_voice_he_39937271,"רבותי השרים, השר ליברמן, הדברים שלי","רבותיי השרים, השר ליברמן, הדברים שלי.",0.3333,1667
common_voice_he_43539841,יצאה לדרך אינתיפאדת ההיפרדות מסוריה בלבנון,יצאה לדרך אינתיפדת ההיפרדות מסוריה בלבנון.,0.3333,1667
common_voice_he_39327024,לי לא שיחק המזל באמריקה?! כלום אתה יודע עם מי הנך מדבר?,"לי לא שיחק המזל באמריקה,  כלום אתה יודע עם מינך מדבר?",0.25,0
common_voice_he_38085649,אבל יחד עם זה אני רוצה להתגבר על הקושי ולהמשיך דווקא בעברית.,"אבל יחד עם זה,  אני רוצה להתגבר עליו קושי ולהמשיך דווקא בעברית.",0.25,0
common_voice_he_39350851,הטנור שלנו שכח את קולו בביתו.,הטנור שלנו שכח את קולו בבית.,0.1667,0
common_voice_he_39659793,אבל הוא ישב לילה שלם במעצר,אבל הוא ישב לילה שלם במעצב.,0.1667,1667
common_voice_he_40978528,"צריך להביא תוכנית בניין עיר, תבע""","צריך להביא תוכנית בניין עיר,  טאב.",0.1667,1667
common_voice_he_38085651,מאין לך זאת? כבר היית שם?,מהאין לך זאת?  כבר היית שם?,0.1667,0
common_voice_he_39753280,כמו יום האדמה וכמו אוקטובר אלפיים,כמו יום האדמה וכמו אוקטובר 2000.,0.1667,1667
common_voice_he_39771176,פרופסור אברהם הרשקו ופרופסור אהרן צ'חנובר,פרופסור אברהם הרשקו ופרופסור אהרון צ'חנובר,0.1667,0
common_voice_he_39778701,כי הוא החליט שלא להעלות מסים,כי הוא החליט שלא להעלות מיסים.,0.1667,0
common_voice_he_39831294,וכוחות הביטחון מרשים למשפחות לצאת מהערים,וכוחות הביטחון מרשים למשפחות לצאת מהארים.,0.1667,1667
common_voice_he_39918066,חשוב לבחור משפטים עם מגוון לקסקלי,חשוב לבחור משפטים עם מגוון לקסיקלי.,0.1667,1667
common_voice_he_39937266,"רוני בריזון, ויקטור בריילובסקי, ענבל גבריאלי","רוני בריזון, ויקטור ביילובסקי, ענבל גבריאלי",0.1667,0
common_voice_he_40001949,גם כאשר יש נגדו כתב אישום,גם כאשר יש נגדו כתב אישור.,0.1667,1667
common_voice_he_39753586,"הצעדה תחל בשעה ארבע ברחבת נזכור"" שבין התחנה המרכזית החדשה ל""בנייני האומה"" בירושלים""",הצעדה תחל בשעה 16 ברחבת נזקור שבין התחנה המרכזית החדשה לבנייני האומה בירושלים.,0.3846,2857
common_voice_he_40137983,בין שאדם נפטר בבית בין קרובי משפחה ובין שהוא נפטר ערירי במקום כלשהו,"בין שאדם נפטר בבית,  בין קרובי משפחה ובין שהוא נפטר על עירי במקום כלשהו.",0.3077,1538
common_voice_he_40612862,מקורה של ההכנסה שחולקה לניהנה ייקבע בהתאם למקורות ההכנסה של הנאמן באופן יחסי,הוראה של ההכנסה שחולקה לנאמן ייקבע בהתאם  למקורות ההכנסה של הנאמן באופן יחסי.,0.2308,1538
common_voice_he_38104831,הַשָּׁמַיִים נִתְקַשְּׁטוּ בְּבִגְדֵי-תְּכֵלֶת חֲדָשִׁים כִּבְיוֹם חַג.,השמיים נתקשטו בבקדי תכלת חדשים כביום חג.,1.1667,0
common_voice_he_41616558,מְכַרְסֵם בְּאָזְנֶיךָ בְּמֶשֶׁךְ שָׁעוֹת תְּמִימוֹת לְלֹא הַפְסָקָה,מכרסם באוזניך במשך שעות תמימות ללא הפסקה.,1,1429
common_voice_he_38744646,"הַמַּחְלָקָה הַשְּׁבִיעִית שֶׁל ""תַּרְבּוּת"" אֲבֵדָה עִם הַמּוֹרֶה.",המחלקה השביעית של תרבות עבדה עם המורה.,1,1429
common_voice_he_39327182,הַשָּׁעָה כְּעֵת הִיא שְׁתַּיִם וָחֵצִי לְאַחַר חֲצוֹת,השעה כעת היא שתיים וחצי לאחר חצות.,1,1429
common_voice_he_38104824,עִם הַיַּלְקוּט עַל הַשֶּׁכֶם וּבוֹ חֲבִילַת הַבְּגָדִים,עם הילקוט על השכם ובוא חבילת הבגדים.,1,1429
common_voice_he_38142075,הוּא נִיסָּה עוֹד פַּעַם וְהַדָּבָר חָזַר וְנִשְׁנָה.,הוא ניסה עוד פעם והדבר חזר ונשמע.,1,0
common_voice_he_39753269,"פּוֹרְחִים כַּדּוּרִים, אֱגוֹזִים מִתְפַּצְּחִים – אֲנִי מִתְכַּוֵּן לִפְצָצוֹת.","פורחים כדורים, אגוזים מתפצחים, אני מתכוון לפצצות.",1,0
common_voice_he_38623349,"מאמא, מאחי, אני מקבלת מכתבים; שניהם בריאים.","מאמא מאחי אני מקבלת מכתבים, שניהם גרועים.",0.5714,0
common_voice_he_39785425,קבר-יוסף נמצא בסמוך למחנה הפליטים בלאטה,קבר יוסף נמצא בסמוך למחנה הפליטים בלטה.,0.5,1429
common_voice_he_39831318,גם יחיא מוסטפה אג'באריה ומוחמד תאופיק ג'בארין,גם יחיא מוסטפא אגבאריה ומוחמד תאופיק ג'בארין.,0.4286,3333
common_voice_he_38744643,שחלקם העז למרוד ולהצביע בנושא הערבה ביושר,שחלקם מעז למרוד ולהצביע בנושא הערבה ביושר.,0.2857,1429
common_voice_he_40137980,אנו מקווים שהתוכנית תקרום בקרוב עור וגידים,אנו מקווים שהתוכנית תקרום בקרוב אור וגידים.,0.2857,1429
common_voice_he_38623347,מֵי הבשמים שאת משתמשת בהם ריחם משובח.,מי הפסומים שאת משתמשת בהם ריחם משובח.,0.2857,0
common_voice_he_41616729,שהצבעתו האחרונה היתה נגד והיא לא נקלטה,שהצבעתו האחרונה הייתה נגד והיא לא נקלטה.,0.2857,0
common_voice_he_41616758,עמיתי ורעי מוועדת הכלכלה שדואג לשכבות מצוקה,אמיתי ורעי מוועדת הכלכלה שדואג לשכבות מצוקה.,0.2857,1429
common_voice_he_41605209,שגם בה הוא לא ייטול עוד חלק,שגם בה הוא לא יטול עוד חלק.,0.2857,1429
common_voice_he_38142076,"הים מאוד גועש, נראה לי דגל שחור","היה מאוד גועש,  נראה לי דגל שחור.",0.2857,1429
common_voice_he_39753153,הצעדה תתחיל בשעה ארבע ליד התחנה המרכזית,הצעדה תתחיל בשעה 16 ליד התחנה המרכזית.,0.2857,1429
common_voice_he_39753226,תוכנית זו כוללת בחובה גזירות קשות מנשוא,תוכנית זו כוללת בחובה גזרות קשות מנשוא.,0.2857,1429
common_voice_he_40978535,ואני רוצה בפתח הדברים למסור את תנחומי,ואני רוצה בפתח הדברים למסור את תנחומיי.,0.1429,1429
common_voice_he_40978553,גיבוש נהלים ופקודות לטיפול והסרת אזבסט פריך,גיבוש נהלים ופקודות לטיפול והסרת אסבסט פריך,0.1429,0
common_voice_he_41616809,אני כרגע משאיר מה שלא קשור לדוח,אני כרגע משאיר מה שלא קשור לדו״ח.,0.1429,2857
common_voice_he_38104806,"הקפה שלי חמוץ, אבל לא באופן מוגזם.","הקפה שלי חמות,  אבל לא באופן מוגזם.",0.1429,0
common_voice_he_38104821,הייתי רוצה להזמין סושי צמחוני היום בערב.,הייתי רוצה להזמין סושי צמקוני היום בערב.,0.1429,0
common_voice_he_38142071,זכויות האדם לא נבחנות רק בזכות להפגין,זכויות האדם לא נבחנות רק  בזכות להפתיע.,0.1429,1429
common_voice_he_38146664,המחזיר אתה גם כן למי שהפסיד אצלך?,המגזיל אתה גם כן למי שהפסיד אצלך?,0.1429,0
common_voice_he_39753643,הם עשו זאת כי הם ברוכי כשרונות,הם עשו זאת כי הם ברוכי כישרונות.,0.1429,1429
common_voice_he_39785398,היום אני רוצה להתייחס לנושא האנרגיה הסולרית,היום אני רוצה להתייחס לנושא האנרגיה הסולארית.,0.1429,1429
common_voice_he_39918057,כמה זמן יקח לי להגיע מהבית לנתניה?,כמה זמן ייקח לי להגיע מהבית לנתניה?,0.1429,0
common_voice_he_39326826,עַתָּה אֵין לִי כְלוּם בָּעוֹלָם – אֵין לִי דָבָר.,"אתה אין לי כלום בעולם, אין לי דבר.",1,0
common_voice_he_39327138,"אִם תַּסְכִּימוּ, הֲרֵינִי מוּכָן לַעֲשׂוֹת בִּקּוּר קָצָר בְּחֶדְרוֹ","אם תסכימו, הריני מוכן לעשות ביקור קצר בחדרו.",1,1250
common_voice_he_39327218,הָיְתָה לָנוּ אֲסֵפָה קְצָרָה וְכֻולָּנוּ הִסְכַּמְנוּ לָלֶכֶת לַמּוֹרָד,הייתה לנו אספה קצרה וכולנו הסכמנו ללכת למורד.,1,0
common_voice_he_38142069,"אַתָּה, שֶׁנּוֹלַדְתָּ כָּאן, הֲרֵי אֵין סַכָּנָה שֶׁלּא תַּחֲזֹר.","אתה, שנולדת כאן,  הרי אין סכנה שלא תחזור.",1,0
common_voice_he_38142073,מִמִכְתָבְךָ נוֹדָע לִי שֶכְּבָר עָזַבְתָ לְגַמְרֵי. אֵיךְ הַהַרְגָשָה?,ממכתבך נודע לי שכבר עזבת לגמרי.  איך הרגשה?,1,0
common_voice_he_39753088,וְהַזָּקֵן תָּקַע בְּאוֹתוֹ מָקוֹם אֶת הַסַּכִּין שֶׁבִּקְצֵה הַמָּשׁוֹט,והזקן תקע באותו מקום את הסכין שבקצה המשות.,1,1250
common_voice_he_39753055,ואפילו ייעד כבר מקום לבית-המשפט החדש בצפת,ואפילו ייעד כבר מקום חדש לבית המשפט החדש בצפת.,0.5714,1250
common_voice_he_39771250,ואני רואה שיושב-ראש הישיבה מפנה מבטו אלי,ואני רואה שיושב ראש הישיבה מפנה מבטו אליי.,0.4286,1250
common_voice_he_40909682,כי לפעמים הנזק הוא עצום והתביעות הן במיליונים,"כי לפעמים הנזק הוא עצום, והתהיות הן במיליונים.",0.375,1250
common_voice_he_39753056,"מבצע שלמה; מפקד סיירת מטכ""ל בעבר יושב כאן""","מבצע שלמה, מפקד סיירת מטכ״ל בעבר יושב כאן.",0.375,0
common_voice_he_41617137,זה אפשר לתקן כי זה לא מעשי שמים,"זה אפשר לתקן, כי זה לא מעשי שמיים.",0.25,0
common_voice_he_41019415,אפילו כאשר היתה ישיבה של ועדת התכנון בחיפה,אפילו כאשר הייתה ישיבה של ועדת התכנון בחיפה.,0.25,0
common_voice_he_43512945,היתה ישיבה פה בפגרת הקיץ לפני שנה וחצי,הייתה ישיבה פה בפגרת הקיץ לפני שנה וחצי.,0.25,0
common_voice_he_41616704,ויעקוב ויגיד מתי הם הלכו ולאיפה הם באו,ויעקב ויגיד מתי הם הלכו ולאיפה הם באו.,0.25,1250
common_voice_he_41486346,אקמול צינון עם קוקטיל של סטרואידים להורדת החום,אקמול צינון עם קוקטייל של סטרואידים להורדת החום.,0.25,1250
common_voice_he_41486355,"כי תמות נפשי עם פלשתים"" זה מול האויב""",כי תמות נפשי עם פלישתים זה מול האויב.,0.25,1250
common_voice_he_39753600,כמות הרכבים הממוגנים מספיקה לפעילות הגדוד ולביצוע משימותיו,כמות הרכבים המוגנים מספיקה לפעילות הגדוד ולביצוע משימותיו.,0.25,1250
common_voice_he_39778702,מייד עם כניסתי לתפקיד פעלתי בשלושה מישורים שונים:,מיד עם כניסתי לתפקיד פעלתי בשלושה מישורים שונים.,0.25,0
common_voice_he_43503067,האח הגדול היא תוכנית טלוויזיה פופולרית בערוץ שתיים,האח הגדול היא תוכנית טלוויזיה פופולרית בערוץ 2.,0.125,1250
common_voice_he_38118859,כולי תקווה שהאוזניות לא התקלקלו כשטבלו בכוס התה.,כולי תקווה שהאוזניות לא יתקלקלו כשטבלו בכוס התה.,0.125,0
common_voice_he_38146696,אף פעם לא ראיתי תוכי כל כך מאושר.,אף פעם לא ראיתי צוקי כל כך מאושר.,0.125,0
common_voice_he_38883686,כֹּל הַבְּרִיאִים מְהַלְּכִים כְּמוֹ קְפִיצִים מִתְמַתְּחִים וּמִתְכַּוְּצִים מִכְּאֵבֵי שְׁרִירִים.,"כל הבריאים מהלכים כמו קפיצים,  מתמתחים ומתכווצים מכאבי שרירים.",1,0
common_voice_he_39327091,"אֲפִילוּ לִי, שֶאֲנִי רַק חֲדָשִים אֲחָדִים חַיָה בְּצוּרָה זוֹ",אפילו לי שאני רק חודשים אחדים חיה בצורה זו.,1,1111
common_voice_he_39831352,אמרתי דווקא בית-חולים נהרייה ולא בית-חולים צפת,אמרתי דווקא בית חולים נהריה ולא בית חולים צפת.,0.8571,1111
common_voice_he_41616601,"בהם היפ הופ, רגאטון, רית'ם אנד בלוז ומוזיקה אלקטרונית","בהם היפ-הופ, רגיתון, ריתם אנד בלוז ומוזיקה אלקטרונית.",0.5556,3000
common_voice_he_40137981,יש הרבה מותגים של מכוניות בארץ. הונדה וסיטראון למשל,יש הרבה מותגים של מכוניות בארץ – הונדה וסיטואן למשל.,0.4444,0
common_voice_he_41617129,בריאת העולם היתה בזכות מידת החסד: עולם חסד ייבנה,בריאת העולם הייתה בזכות מידת החסד עולם חסד ייבנה.,0.3333,0
common_voice_he_40909689,ואני פונה לאריק שרון שיפנה לאהוד יתום ולגלעד ארדן,"ואני פונה לארק שרון, שיפנה לאהוד יתום ולגלעד ארדן.",0.3333,1111
common_voice_he_39778708,אני מקבל בכל לבי - יש כאן פגיעה לא מבוטלת,"אני מקבל בכל ליבי, יש כאן פגיעה לא מבוטלת.",0.3,1111
common_voice_he_40612866,אולם התגמולים לנזקקים ולנצרכים מותנים מטבע הדברים בהכנסות אחרות,אולם התמלוגים לנזקקים ולנצרכים מותנים מטבע הדברים בהכנסות אחרות.,0.2222,1111
common_voice_he_39326828,שאינם נחקקים באופן חוקתי ואשר לעתים קרובות הם הזויים,שאינם נחקקים באופן חוקתי ואשר לעיתים קרובות הם הזויים.,0.2222,1111
common_voice_he_39937165,הוא מייד הולך לקנות אופניים שהוא לא הצליח לקנות,הוא מיד הולך לקנות אופניים שהוא לא הצליח לקנות.,0.2222,0
common_voice_he_39937281,אני רוצה לשחרר שלושים אלף יחידות דיור מאושרות בחיפה,אני רוצה לשחרר 30 אלף יחידות דיור מאושרות בחיפה.,0.2222,1111
common_voice_he_40001958,אלא אני עומד גם מאחורי המלים שהוא לא ציטט,אלא אני עומד גם מאחורי המילים שהוא לא ציטט.,0.2222,1111
common_voice_he_41605164,לפני כשלושה שבועות אנחנו קיימנו דיון בוועדה למעמד האשה,לפני כשלושה שבועות אנחנו קיימנו דיון בוועדה למעמד האישה.,0.1111,1111
common_voice_he_38118866,אף פעם לא הבנתי למה שומשום יקר כל כך.,אף פעם לא הבנתי למה שונשון יקר כל כך.,0.1111,0
common_voice_he_39753068,מוטלת אחריות לא לתת לאנשים לשמוע הרהורים בין השיטין,מוטלת אחריות לא לתת לאנשים לשמוע הרהורים בין השיטים.,0.1111,1111
common_voice_he_39753590,הציר השני הוא אזרחים ואזרחיות שהם באמת מטפלים אלטרנטיבים,הציר השני הוא אזרחים ואזרחיות שהם באמת מטפלים אלטרנטיביים.,0.1111,1111
common_voice_he_38195452,אֵינִי מִתְכַּוֶונֶת לְהַבִּיעַ שֶבַּצוּרָה בָּה חַיַית עַד עַכְשָיו הָיִיתָ כָּבוּל,איני מתכוונת להביאה שבצורה בה חיית עד עכשיו  היית כבול.,1,1000
common_voice_he_39327185,רַק יוֹסִי’לִי עָמַד כְּשֶׁעֵינָיו פְּקוּחוֹת וּמַזְהִירוֹת וּפִיו אֵינוֹ פּוֹסֵק מִלְמַלְמֵל,רק יוסילי עמד כשעיניו פקוחות ומזהירות ופיו אינו פוסק מלמלמל.,1,0
common_voice_he_38085657,"הִיא שָׁתְקָה כְּמוֹ אֶבֶן, וְרַק עֵינֶיהָ הַגְּדוֹלוֹת וְהַדּוֹעֲכוֹת הִבִּיטוּ עָלַיי.","היא שתקה כמו אבן,  ורק עיניה הגדולות והדורחות הביטו עליי.",1,0
common_voice_he_39831344,"לְאַחַר תְּקוּפָה סוֹעֶרֶת, הֲרֵי מַה שֶׁנִּשְׁאַר אֵינוֹ אֶלָּא פָּרָשַׁת זִכְרוֹנוֹת","לאחר תקופה סוערת,  הרי מה שנשאר אינו אלא פרשת זיכרונות.",1,1000
common_voice_he_41605190,אני בעד חיזוק מזרח-ירושלים כולה בכל מקום שבו נימצא,אני בעד חיזוק מזרח ירושלים כולה בכל מקום שבו נמצא.,0.3333,1000
common_voice_he_39937168,פעם נוספת מתחת לאפנו מתחוללת בדרום שוב איזה מיני-מלחמה,פעם נוספת מתחת לאפינו מתחוללת בדרום שוב איזה מיני מלחמה.,0.3333,1000
common_voice_he_39753545,שבעיני מיליארד מוסלמים הוא מנהיג וגיבור כמו צלאח א-דין,שבעיני מיליארד מוסלמים הוא מנהיג וגיבור כמו סלאח א-דין.,0.2222,1000
common_voice_he_39771111,ובגלל זה לא נגענו בקצבאות הזיקנה ולא נגענו בקצבאות הנכים,ובגלל זה לא נגענו בקצבאות הזקנה ולא נגענו בקצבאות הנכים.,0.2,1000
common_voice_he_39771305,לא הבשיל אז התהליך עקב העדר נכונות מקבילה בצד השני,לא הבשיל אז התהליך עקב היעדר נכונות מקבילה בצד השני.,0.2,1000
common_voice_he_41605155,אפילו האויב כבר לא מבוצר מאחורי שלושה קווי הגנה סוריים,אפילו האויב כבר לא מבוצר מאחורי שלושה קווי הגנה סורים.,0.1,1000
common_voice_he_39327216,"אִם הַשְׁעָרָתוֹ שֶׁל הַנּוֹרְוֶגִי נְכוֹנָה הִיא, הֲרֵינִי מַצִּיעַ אֶת עַצְמִי לְעֶזְרָתְךָ.","אם השערתו של הנורבגי נכונה היא,  הריני מציע את עצמי לעזרתך.",1,0
common_voice_he_38142101,"יֵשׁ לוֹ רַק מַאֲפִיָּיה וְתַנּוּר חַם, סַל גָּדוֹל וְשָׁלוֹשׁ שְׁעוֹת מְנוּחָה","יש לו רק מאפייה ותנור חם,  סל גדול ושלוש שעות מלוכה.",1,909
common_voice_he_39771199,"אַתֶּם הָעוֹבְדִים, הַקּוֹדְחִים, הַקְּרוּעִים, הַמִּלְּיוֹנִים, אֲשֶׁר מִצְחֲכֶם קוֹרֵן אוֹר יְגִיעָה וְעָמָל","אתם העובדים, הקודחים, הקרועים, המיליונים,  אשר מצחכם קורן אור, יגיעה ועמל.",1,909
